@JasonBroughTSN what the hell? What a business.,2021-02-09 17:45:54.250612992,MetroVancouver,Negative
N\xe3o tem sororidade que me impe\xe7a de sair na porrada co radfem,2021-02-09 17:46:04.798515200,MetroVancouver,Negative
@patersonjeff Hope to hear your back on the air soon J-pat,2021-02-09 17:46:08.479501056,MetroVancouver,Negative
@FerronMathieu @CaATiER_Chop_ER @LickertHeiko @beta_cell I think Laura Alonso\u2019s ATF6 dependent mild ER stress induc\u2026 https://t.co/dNNLEXvGPj,2021-02-09 17:46:19.451830016,MetroVancouver,Positive
I\u2019m watching as my confidence in snow is skyrocketing\ud83d\ude42!,2021-02-09 17:46:20.143426048,MetroVancouver,Positive
\ud83d\ude0e\ud83d\udc47\ud83c\udffd\ud83d\ude0e\ud83d\udc47\ud83c\udffd\ud83d\ude0e,2021-02-09 17:46:25.460724224,MetroVancouver,Negative
Good point. You know about the Uihleins ? Put the  light on them.,2021-02-09 17:46:29.813619968,MetroVancouver,Positive
Things you LOVE to see!\n\n[Video of two families arriving at school by bicycle] https://t.co/EJi95nrJEL,2021-02-09 17:46:43.122756096,MetroVancouver,Positive
Will there finally be snow this weekend in #Vancouver ?,2021-02-09 17:46:51.887968,MetroVancouver,Positive
@CaATiER_Chop_ER @FerronMathieu @LickertHeiko @beta_cell We see one of them altered in @SisSkovsoe \u2018s BIRKO,2021-02-09 17:46:56.265615104,MetroVancouver,Positive
@brian_sebor @BanGaoRen @RomeUnholy I'M retire. I dont get CERB. BTW it has been transformed.,2021-02-09 17:46:57.074140928,MetroVancouver,Negative
"Que the music! \u201cTime of Your Life\u201d, Green Day - signed it off. Now just random music playing \u2639\ufe0f. Sad news! Heart go\u2026 https://t.co/nEqQrY3eFB",2021-02-09 17:46:59.886145024,MetroVancouver,Negative
Where is @TSN1040 playing music on the station. @BellMediaPR #SportsRadio What is actually going on?,2021-02-09 17:47:02.981836032,MetroVancouver,Negative
"@S_W_O_L_E @realjuliasong The numbers go up because of the spikes after events. Like the Brecks commercial, and so\u2026 https://t.co/Ie6GwGWWd0",2021-02-09 17:47:06.617325056,MetroVancouver,Positive
@HeyNurse_lb https://t.co/0WRt5hPsdM,2021-02-09 17:47:10.342242048,MetroVancouver,Positive
Gutted by this news. Just brutal. Thinking of my friends and former colleagues at 1040. Good people who deserved better,2021-02-09 17:47:23.451746816,MetroVancouver,Positive
Exactamente \n\ud83d\udc47\ud83c\udffd\ud83d\udc47\ud83c\udffd\ud83d\udc47\ud83c\udffd,2021-02-09 17:47:31.427331072,MetroVancouver,Negative
